Pattern:only F1 main effect, Type:snrsurr, Area:S1, Frequency of interest:23 
p-threshold:0.000191, bipolar ch: 32, stats:(F1 Amp,F2 Amp, interact)=(0.000003, 0.058005, 0.686160) 
p-threshold:0.000166, bipolar ch: 32, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 34, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 35, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 38, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000011) 
p-threshold:0.000166, bipolar ch: 39, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 40, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 42, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000137) 
p-threshold:0.000166, bipolar ch: 88, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 89, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000067) 
p-threshold:0.000166, bipolar ch: 90, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 94, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 96, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 98, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000037) 
p-threshold:0.000166, bipolar ch:101, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:102, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:107, stats:(F1 Amp,F2 Amp, interact)=(0.000135, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:108, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:109, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:110, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:111, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000025) 
p-threshold:0.000166, bipolar ch:112, stats:(F1 Amp,F2 Amp, interact)=(0.000004, 0.000000, 0.000004) 
